planid,plan_name,plan_type,plan_tier,plan_category,coverageamount,premium,deductible,copay,addons,waitingperioddays
PL10000,Life Insurance Corporation of India (LIC) Pure Term Plan,individual,,Pure Term Plan,10000000,300.0,0.0,0.0,accident_cover,0
PL10001,Life Insurance Corporation of India (LIC) Return of Premium (TROP),individual,,Return of Premium (TROP),1000000,30.0,0.0,0.0,accident_cover,0
PL10002,Life Insurance Corporation of India (LIC) Convertible Term Plan,individual,,Convertible Term Plan,5000000,150.0,0.0,0.0,,0
PL10003,HDFC Life Insurance Pure Term Plan,individual,,Pure Term Plan,5000000,150.0,0.0,0.0,accident_cover,0
PL10004,HDFC Life Insurance Return of Premium (TROP),individual,,Return of Premium (TROP),5000000,150.0,0.0,0.0,,0
PL10005,HDFC Life Insurance Convertible Term Plan,individual,,Convertible Term Plan,500000,15.0,0.0,0.0,accident_cover,0
PL10006,Axis Max Life Insurance Pure Term Plan,individual,,Pure Term Plan,2000000,60.0,0.0,0.0,accident_cover,0
PL10007,Axis Max Life Insurance Return of Premium (TROP),individual,,Return of Premium (TROP),5000000,150.0,0.0,0.0,,0
PL10008,Axis Max Life Insurance Convertible Term Plan,individual,,Convertible Term Plan,1000000,30.0,0.0,0.0,,0
PL10009,ICICI Prudential Life Insurance Pure Term Plan,individual,,Pure Term Plan,20000000,600.0,0.0,0.0,accident_cover,0
PL10010,ICICI Prudential Life Insurance Return of Premium (TROP),individual,,Return of Premium (TROP),5000000,150.0,0.0,0.0,,0
PL10011,ICICI Prudential Life Insurance Convertible Term Plan,individual,,Convertible Term Plan,1000000,30.0,0.0,0.0,,0
PL10012,Kotak Mahindra Life Insurance Pure Term Plan,individual,,Pure Term Plan,1000000,30.0,0.0,0.0,accident_cover,0
PL10013,Kotak Mahindra Life Insurance Return of Premium (TROP),individual,,Return of Premium (TROP),20000000,600.0,0.0,0.0,,0
PL10014,Kotak Mahindra Life Insurance Convertible Term Plan,individual,,Convertible Term Plan,1000000,30.0,0.0,0.0,accident_cover,0
PL10015,Aditya Birla Sun Life Insurance Pure Term Plan,individual,,Pure Term Plan,10000000,300.0,0.0,0.0,,0
PL10016,Aditya Birla Sun Life Insurance Return of Premium (TROP),individual,,Return of Premium (TROP),2000000,60.0,0.0,0.0,,0
PL10017,Aditya Birla Sun Life Insurance Convertible Term Plan,individual,,Convertible Term Plan,10000000,300.0,0.0,0.0,accident_cover,0
PL10018,TATA AIA Life Insurance Pure Term Plan,individual,,Pure Term Plan,2000000,60.0,0.0,0.0,accident_cover,0
PL10019,TATA AIA Life Insurance Return of Premium (TROP),individual,,Return of Premium (TROP),500000,15.0,0.0,0.0,accident_cover,0
PL10020,TATA AIA Life Insurance Convertible Term Plan,individual,,Convertible Term Plan,500000,15.0,0.0,0.0,,0
