planid,plan_name,plan_type,plan_tier,plan_category,addons,coverageamount,waitingperioddays
PL10000,Life Insurance Corporation of India (LIC) Pure Term Plan,individual,,Pure Term Plan,accident_cover,10000000,0
PL10001,Life Insurance Corporation of India (LIC) Return of Premium (TROP),individual,,Return of Premium (TROP),accident_cover,1000000,0
PL10002,Life Insurance Corporation of India (LIC) Convertible Term Plan,individual,,Convertible Term Plan,,5000000,0
PL10003,HDFC Life Insurance Pure Term Plan,individual,,Pure Term Plan,accident_cover,5000000,0
PL10004,HDFC Life Insurance Return of Premium (TROP),individual,,Return of Premium (TROP),,5000000,0
PL10005,HDFC Life Insurance Convertible Term Plan,individual,,Convertible Term Plan,accident_cover,500000,0
PL10006,Axis Max Life Insurance Pure Term Plan,individual,,Pure Term Plan,accident_cover,2000000,0
PL10007,Axis Max Life Insurance Return of Premium (TROP),individual,,Return of Premium (TROP),,5000000,0
PL10008,Axis Max Life Insurance Convertible Term Plan,individual,,Convertible Term Plan,,1000000,0
PL10009,ICICI Prudential Life Insurance Pure Term Plan,individual,,Pure Term Plan,accident_cover,20000000,0
PL10010,ICICI Prudential Life Insurance Return of Premium (TROP),individual,,Return of Premium (TROP),,5000000,0
PL10011,ICICI Prudential Life Insurance Convertible Term Plan,individual,,Convertible Term Plan,,1000000,0
PL10012,Kotak Mahindra Life Insurance Pure Term Plan,individual,,Pure Term Plan,accident_cover,1000000,0
PL10013,Kotak Mahindra Life Insurance Return of Premium (TROP),individual,,Return of Premium (TROP),,20000000,0
PL10014,Kotak Mahindra Life Insurance Convertible Term Plan,individual,,Convertible Term Plan,accident_cover,1000000,0
PL10015,Aditya Birla Sun Life Insurance Pure Term Plan,individual,,Pure Term Plan,,10000000,0
PL10016,Aditya Birla Sun Life Insurance Return of Premium (TROP),individual,,Return of Premium (TROP),,2000000,0
PL10017,Aditya Birla Sun Life Insurance Convertible Term Plan,individual,,Convertible Term Plan,accident_cover,10000000,0
PL10018,TATA AIA Life Insurance Pure Term Plan,individual,,Pure Term Plan,accident_cover,2000000,0
PL10019,TATA AIA Life Insurance Return of Premium (TROP),individual,,Return of Premium (TROP),accident_cover,500000,0
PL10020,TATA AIA Life Insurance Convertible Term Plan,individual,,Convertible Term Plan,,500000,0
PL10021,SBI Life Insurance Pure Term Plan,individual,,Pure Term Plan,accident_cover,500000,0
PL10022,SBI Life Insurance Return of Premium (TROP),individual,,Return of Premium (TROP),accident_cover,20000000,0
PL10023,SBI Life Insurance Convertible Term Plan,individual,,Convertible Term Plan,accident_cover,20000000,0
PL10024,Bajaj Allianz Life Insurance Pure Term Plan,individual,,Pure Term Plan,accident_cover,2000000,0
PL10025,Bajaj Allianz Life Insurance Return of Premium (TROP),individual,,Return of Premium (TROP),accident_cover,20000000,0
PL10026,Bajaj Allianz Life Insurance Convertible Term Plan,individual,,Convertible Term Plan,accident_cover,5000000,0
PL10027,PNB MetLife India Insurance Pure Term Plan,individual,,Pure Term Plan,accident_cover,1000000,0
PL10028,PNB MetLife India Insurance Return of Premium (TROP),individual,,Return of Premium (TROP),,2000000,0
PL10029,PNB MetLife India Insurance Convertible Term Plan,individual,,Convertible Term Plan,,20000000,0
PL10030,Reliance Nippon Life Insurance Pure Term Plan,individual,,Pure Term Plan,,10000000,0
PL10031,Reliance Nippon Life Insurance Return of Premium (TROP),individual,,Return of Premium (TROP),accident_cover,1000000,0
PL10032,Reliance Nippon Life Insurance Convertible Term Plan,individual,,Convertible Term Plan,accident_cover,10000000,0
PL10033,Aviva Life Insurance India Pure Term Plan,individual,,Pure Term Plan,accident_cover,5000000,0
PL10034,Aviva Life Insurance India Return of Premium (TROP),individual,,Return of Premium (TROP),,500000,0
PL10035,Aviva Life Insurance India Convertible Term Plan,individual,,Convertible Term Plan,accident_cover,500000,0
PL10036,Sahara India Life Insurance Pure Term Plan,individual,,Pure Term Plan,,500000,0
PL10037,Sahara India Life Insurance Return of Premium (TROP),individual,,Return of Premium (TROP),accident_cover,2000000,0
PL10038,Sahara India Life Insurance Convertible Term Plan,individual,,Convertible Term Plan,accident_cover,2000000,0
PL10039,Shriram Life Insurance Pure Term Plan,individual,,Pure Term Plan,,2000000,0
PL10040,Shriram Life Insurance Return of Premium (TROP),individual,,Return of Premium (TROP),,2000000,0
PL10041,Shriram Life Insurance Convertible Term Plan,individual,,Convertible Term Plan,accident_cover,2000000,0
PL10042,Bharti AXA Life Insurance Pure Term Plan,individual,,Pure Term Plan,,500000,0
PL10043,Bharti AXA Life Insurance Return of Premium (TROP),individual,,Return of Premium (TROP),,20000000,0
PL10044,Bharti AXA Life Insurance Convertible Term Plan,individual,,Convertible Term Plan,,2000000,0
PL10045,Future Generali India Life Insurance Pure Term Plan,individual,,Pure Term Plan,,500000,0
PL10046,Future Generali India Life Insurance Return of Premium (TROP),individual,,Return of Premium (TROP),accident_cover,20000000,0
PL10047,Future Generali India Life Insurance Convertible Term Plan,individual,,Convertible Term Plan,accident_cover,2000000,0
PL10048,Ageas Federal Life Insurance Pure Term Plan,individual,,Pure Term Plan,accident_cover,1000000,0
PL10049,Ageas Federal Life Insurance Return of Premium (TROP),individual,,Return of Premium (TROP),accident_cover,1000000,0
PL10050,Ageas Federal Life Insurance Convertible Term Plan,individual,,Convertible Term Plan,,500000,0
PL10051,Canara HSBC Life Insurance Pure Term Plan,individual,,Pure Term Plan,,5000000,0
PL10052,Canara HSBC Life Insurance Return of Premium (TROP),individual,,Return of Premium (TROP),,5000000,0
PL10053,Canara HSBC Life Insurance Convertible Term Plan,individual,,Convertible Term Plan,accident_cover,1000000,0
PL10054,Bandhan Life Insurance Pure Term Plan,individual,,Pure Term Plan,accident_cover,500000,0
PL10055,Bandhan Life Insurance Return of Premium (TROP),individual,,Return of Premium (TROP),,10000000,0
PL10056,Bandhan Life Insurance Convertible Term Plan,individual,,Convertible Term Plan,,10000000,0
PL10057,Pramerica Life Insurance Pure Term Plan,individual,,Pure Term Plan,,2000000,0
PL10058,Pramerica Life Insurance Return of Premium (TROP),individual,,Return of Premium (TROP),accident_cover,20000000,0
PL10059,Pramerica Life Insurance Convertible Term Plan,individual,,Convertible Term Plan,accident_cover,1000000,0
PL10060,Star Union Dai-ichi Life Insurance Pure Term Plan,individual,,Pure Term Plan,accident_cover,20000000,0
PL10061,Star Union Dai-ichi Life Insurance Return of Premium (TROP),individual,,Return of Premium (TROP),,500000,0
PL10062,Star Union Dai-ichi Life Insurance Convertible Term Plan,individual,,Convertible Term Plan,accident_cover,500000,0
PL10063,IndiaFirst Life Insurance Pure Term Plan,individual,,Pure Term Plan,accident_cover,5000000,0
PL10064,IndiaFirst Life Insurance Return of Premium (TROP),individual,,Return of Premium (TROP),accident_cover,20000000,0
PL10065,IndiaFirst Life Insurance Convertible Term Plan,individual,,Convertible Term Plan,accident_cover,2000000,0
