plan_id,provider,plan_name,premium,deductible,network_size,coverage_amount,age_range,risk_profile,highlight_text,why_good_1,why_good_2,why_good_3,relevance_score
PL10000,Life Insurance Corporation of India (LIC),Life Insurance Corporation of India (LIC) Pure Term Plan,300.0,0.0,0,10000000,25-50,low,"Life Insurance Corporation of India (LIC) | ₹10,000,000 coverage | ₹300.0/month premium","Affordable ₹300.0/month plan offering ₹10,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (1.23%).,Includes accident_cover and fast claim processing.,1
PL10001,Life Insurance Corporation of India (LIC),Life Insurance Corporation of India (LIC) Return of Premium (TROP),30.0,0.0,0,1000000,30-55,low,"Life Insurance Corporation of India (LIC) | ₹1,000,000 coverage | ₹30.0/month premium","Affordable ₹30.0/month plan offering ₹1,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.31%).,Includes accident_cover and fast claim processing.,2
PL10002,Life Insurance Corporation of India (LIC),Life Insurance Corporation of India (LIC) Convertible Term Plan,150.0,0.0,0,5000000,25-50,low,"Life Insurance Corporation of India (LIC) | ₹5,000,000 coverage | ₹150.0/month premium","Affordable ₹150.0/month plan offering ₹5,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (1.36%).,Includes flexible options and fast claim processing.,2
PL10003,HDFC Life Insurance,HDFC Life Insurance Pure Term Plan,150.0,0.0,0,5000000,25-50,low,"HDFC Life Insurance | ₹5,000,000 coverage | ₹150.0/month premium","Affordable ₹150.0/month plan offering ₹5,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.19%).,Includes accident_cover and fast claim processing.,2
PL10004,HDFC Life Insurance,HDFC Life Insurance Return of Premium (TROP),150.0,0.0,0,5000000,30-55,low,"HDFC Life Insurance | ₹5,000,000 coverage | ₹150.0/month premium","Affordable ₹150.0/month plan offering ₹5,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.18%).,Includes flexible options and fast claim processing.,2
PL10005,HDFC Life Insurance,HDFC Life Insurance Convertible Term Plan,15.0,0.0,0,500000,25-50,low,"HDFC Life Insurance | ₹500,000 coverage | ₹15.0/month premium","Affordable ₹15.0/month plan offering ₹500,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (1.04%).,Includes accident_cover and fast claim processing.,1
PL10006,Axis Max Life Insurance,Axis Max Life Insurance Pure Term Plan,60.0,0.0,0,2000000,25-50,low,"Axis Max Life Insurance | ₹2,000,000 coverage | ₹60.0/month premium","Affordable ₹60.0/month plan offering ₹2,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.74%).,Includes accident_cover and fast claim processing.,3
PL10007,Axis Max Life Insurance,Axis Max Life Insurance Return of Premium (TROP),150.0,0.0,0,5000000,30-55,low,"Axis Max Life Insurance | ₹5,000,000 coverage | ₹150.0/month premium","Affordable ₹150.0/month plan offering ₹5,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (1.06%).,Includes flexible options and fast claim processing.,2
PL10008,Axis Max Life Insurance,Axis Max Life Insurance Convertible Term Plan,30.0,0.0,0,1000000,25-50,low,"Axis Max Life Insurance | ₹1,000,000 coverage | ₹30.0/month premium","Affordable ₹30.0/month plan offering ₹1,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.51%).,Includes flexible options and fast claim processing.,2
PL10009,ICICI Prudential Life Insurance,ICICI Prudential Life Insurance Pure Term Plan,600.0,0.0,0,20000000,25-50,low,"ICICI Prudential Life Insurance | ₹20,000,000 coverage | ₹600.0/month premium","Affordable ₹600.0/month plan offering ₹20,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.57%).,Includes accident_cover and fast claim processing.,3
PL10010,ICICI Prudential Life Insurance,ICICI Prudential Life Insurance Return of Premium (TROP),150.0,0.0,0,5000000,30-55,low,"ICICI Prudential Life Insurance | ₹5,000,000 coverage | ₹150.0/month premium","Affordable ₹150.0/month plan offering ₹5,000,000 coverage.",Strong reliability with 0 hospitals and low claim rejection rate (0.17%).,Includes flexible options and fast claim processing.,3
