planid,provider,plan_name,premium,deductible,copay,coverageamount,networksize,claimrejectionrate,addons,waitingperioddays,geos,plan_type,plan_tier,age_band_18_35_premium,age_band_36_50_premium,age_band_51_65_premium,max_out_of_pocket,plan_category
PL10000,Life Insurance Corporation of India (LIC),Life Insurance Corporation of India (LIC) Pure Term Plan,300.0,0.0,0.0,10000000,0,1.23,accident_cover,0,"Kerala,Odisha,Delhi,Haryana,Maharashtra",individual,NA,200.0,300.0,500.0,0,Pure Term Plan
PL10001,Life Insurance Corporation of India (LIC),Life Insurance Corporation of India (LIC) Return of Premium (TROP),30.0,0.0,0.0,1000000,0,0.31,accident_cover,0,"Bihar,Rajasthan,Telangana,Kerala,Gujarat",individual,NA,20.0,30.0,50.0,0,Return of Premium (TROP)
PL10002,Life Insurance Corporation of India (LIC),Life Insurance Corporation of India (LIC) Convertible Term Plan,150.0,0.0,0.0,5000000,0,1.36,,0,"Andhra Pradesh,Uttar Pradesh,Punjab,Delhi,Bihar",individual,NA,100.0,150.0,250.0,0,Convertible Term Plan
PL10003,HDFC Life Insurance,HDFC Life Insurance Pure Term Plan,150.0,0.0,0.0,5000000,0,0.19,accident_cover,0,"Kerala,Maharashtra,Uttar Pradesh,Odisha,Punjab",individual,NA,100.0,150.0,250.0,0,Pure Term Plan
PL10004,HDFC Life Insurance,HDFC Life Insurance Return of Premium (TROP),150.0,0.0,0.0,5000000,0,0.18,,0,"Gujarat,Telangana,Tamil Nadu,Uttar Pradesh,Punjab",individual,NA,100.0,150.0,250.0,0,Return of Premium (TROP)
PL10005,HDFC Life Insurance,HDFC Life Insurance Convertible Term Plan,15.0,0.0,0.0,500000,0,1.04,accident_cover,0,"Tamil Nadu,Karnataka,Maharashtra,West Bengal,Punjab",individual,NA,10.0,15.0,25.0,0,Convertible Term Plan
PL10006,Axis Max Life Insurance,Axis Max Life Insurance Pure Term Plan,60.0,0.0,0.0,2000000,0,0.74,accident_cover,0,"Delhi,Gujarat,Punjab,Andhra Pradesh,Rajasthan",individual,NA,40.0,60.0,100.0,0,Pure Term Plan
PL10007,Axis Max Life Insurance,Axis Max Life Insurance Return of Premium (TROP),150.0,0.0,0.0,5000000,0,1.06,,0,"Punjab,Bihar,Karnataka,Telangana,West Bengal",individual,NA,100.0,150.0,250.0,0,Return of Premium (TROP)
PL10008,Axis Max Life Insurance,Axis Max Life Insurance Convertible Term Plan,30.0,0.0,0.0,1000000,0,0.51,,0,"Uttar Pradesh,Punjab,Rajasthan,Gujarat,Kerala",individual,NA,20.0,30.0,50.0,0,Convertible Term Plan
PL10009,ICICI Prudential Life Insurance,ICICI Prudential Life Insurance Pure Term Plan,600.0,0.0,0.0,20000000,0,0.57,accident_cover,0,"Odisha,Kerala,Gujarat,Karnataka,Delhi",individual,NA,400.0,600.0,1000.0,0,Pure Term Plan
PL10010,ICICI Prudential Life Insurance,ICICI Prudential Life Insurance Return of Premium (TROP),150.0,0.0,0.0,5000000,0,0.17,,0,"Telangana,Rajasthan,Karnataka,Bihar,Gujarat",individual,NA,100.0,150.0,250.0,0,Return of Premium (TROP)
PL10011,ICICI Prudential Life Insurance,ICICI Prudential Life Insurance Convertible Term Plan,30.0,0.0,0.0,1000000,0,1.31,,0,"Gujarat,Uttar Pradesh,Odisha,Rajasthan,Andhra Pradesh",individual,NA,20.0,30.0,50.0,0,Convertible Term Plan
PL10012,Kotak Mahindra Life Insurance,Kotak Mahindra Life Insurance Pure Term Plan,30.0,0.0,0.0,1000000,0,0.11,accident_cover,0,"Tamil Nadu,Karnataka,Gujarat,Haryana,Rajasthan",individual,NA,20.0,30.0,50.0,0,Pure Term Plan
