planid,plan_name,provider,claimrejectionrate,networksize
PL10000,Life Insurance Corporation of India (LIC) Pure Term Plan,Life Insurance Corporation of India (LIC),1.23,0
PL10001,Life Insurance Corporation of India (LIC) Return of Premium (TROP),Life Insurance Corporation of India (LIC),0.31,0
PL10002,Life Insurance Corporation of India (LIC) Convertible Term Plan,Life Insurance Corporation of India (LIC),1.36,0
PL10003,HDFC Life Insurance Pure Term Plan,HDFC Life Insurance,0.19,0
PL10004,HDFC Life Insurance Return of Premium (TROP),HDFC Life Insurance,0.18,0
PL10005,HDFC Life Insurance Convertible Term Plan,HDFC Life Insurance,1.04,0
PL10006,Axis Max Life Insurance Pure Term Plan,Axis Max Life Insurance,0.74,0
PL10007,Axis Max Life Insurance Return of Premium (TROP),Axis Max Life Insurance,1.06,0
PL10008,Axis Max Life Insurance Convertible Term Plan,Axis Max Life Insurance,0.51,0
PL10009,ICICI Prudential Life Insurance Pure Term Plan,ICICI Prudential Life Insurance,0.57,0
PL10010,ICICI Prudential Life Insurance Return of Premium (TROP),ICICI Prudential Life Insurance,0.17,0
PL10011,ICICI Prudential Life Insurance Convertible Term Plan,ICICI Prudential Life Insurance,1.31,0
PL10012,Kotak Mahindra Life Insurance Pure Term Plan,Kotak Mahindra Life Insurance,0.11,0
PL10013,Kotak Mahindra Life Insurance Return of Premium (TROP),Kotak Mahindra Life Insurance,1.33,0
PL10014,Kotak Mahindra Life Insurance Convertible Term Plan,Kotak Mahindra Life Insurance,1.37,0
PL10015,Aditya Birla Sun Life Insurance Pure Term Plan,Aditya Birla Sun Life Insurance,1.14,0
PL10016,Aditya Birla Sun Life Insurance Return of Premium (TROP),Aditya Birla Sun Life Insurance,0.61,0
PL10017,Aditya Birla Sun Life Insurance Convertible Term Plan,Aditya Birla Sun Life Insurance,0.11,0
PL10018,TATA AIA Life Insurance Pure Term Plan,TATA AIA Life Insurance,0.23,0
PL10019,TATA AIA Life Insurance Return of Premium (TROP),TATA AIA Life Insurance,0.72,0
PL10020,TATA AIA Life Insurance Convertible Term Plan,TATA AIA Life Insurance,1.13,0
PL10021,SBI Life Insurance Pure Term Plan,SBI Life Insurance,0.49,0
PL10022,SBI Life Insurance Return of Premium (TROP),SBI Life Insurance,1.44,0
PL10023,SBI Life Insurance Convertible Term Plan,SBI Life Insurance,1.41,0
PL10024,Bajaj Allianz Life Insurance Pure Term Plan,Bajaj Allianz Life Insurance,1.05,0
PL10025,Bajaj Allianz Life Insurance Return of Premium (TROP),Bajaj Allianz Life Insurance,0.97,0
PL10026,Bajaj Allianz Life Insurance Convertible Term Plan,Bajaj Allianz Life Insurance,0.87,0
PL10027,PNB MetLife India Insurance Pure Term Plan,PNB MetLife India Insurance,0.56,0
PL10028,PNB MetLife India Insurance Return of Premium (TROP),PNB MetLife India Insurance,1.04,0
PL10029,PNB MetLife India Insurance Convertible Term Plan,PNB MetLife India Insurance,1.08,0
PL10030,Reliance Nippon Life Insurance Pure Term Plan,Reliance Nippon Life Insurance,0.47,0
PL10031,Reliance Nippon Life Insurance Return of Premium (TROP),Reliance Nippon Life Insurance,0.23,0
PL10032,Reliance Nippon Life Insurance Convertible Term Plan,Reliance Nippon Life Insurance,0.56,0
PL10033,Aviva Life Insurance India Pure Term Plan,Aviva Life Insurance India,0.39,0
PL10034,Aviva Life Insurance India Return of Premium (TROP),Aviva Life Insurance India,1.19,0
PL10035,Aviva Life Insurance India Convertible Term Plan,Aviva Life Insurance India,1.44,0
PL10036,Sahara India Life Insurance Pure Term Plan,Sahara India Life Insurance,0.73,0
PL10037,Sahara India Life Insurance Return of Premium (TROP),Sahara India Life Insurance,0.98,0
PL10038,Sahara India Life Insurance Convertible Term Plan,Sahara India Life Insurance,0.3,0
PL10039,Shriram Life Insurance Pure Term Plan,Shriram Life Insurance,1.28,0
PL10040,Shriram Life Insurance Return of Premium (TROP),Shriram Life Insurance,0.27,0
PL10041,Shriram Life Insurance Convertible Term Plan,Shriram Life Insurance,1.23,0
PL10042,Bharti AXA Life Insurance Pure Term Plan,Bharti AXA Life Insurance,1.01,0
PL10043,Bharti AXA Life Insurance Return of Premium (TROP),Bharti AXA Life Insurance,0.66,0
PL10044,Bharti AXA Life Insurance Convertible Term Plan,Bharti AXA Life Insurance,1.44,0
PL10045,Future Generali India Life Insurance Pure Term Plan,Future Generali India Life Insurance,0.78,0
PL10046,Future Generali India Life Insurance Return of Premium (TROP),Future Generali India Life Insurance,0.31,0
PL10047,Future Generali India Life Insurance Convertible Term Plan,Future Generali India Life Insurance,0.61,0
PL10048,Ageas Federal Life Insurance Pure Term Plan,Ageas Federal Life Insurance,0.39,0
PL10049,Ageas Federal Life Insurance Return of Premium (TROP),Ageas Federal Life Insurance,0.16,0
PL10050,Ageas Federal Life Insurance Convertible Term Plan,Ageas Federal Life Insurance,1.32,0
PL10051,Canara HSBC Life Insurance Pure Term Plan,Canara HSBC Life Insurance,0.67,0
PL10052,Canara HSBC Life Insurance Return of Premium (TROP),Canara HSBC Life Insurance,0.91,0
PL10053,Canara HSBC Life Insurance Convertible Term Plan,Canara HSBC Life Insurance,0.97,0
PL10054,Bandhan Life Insurance Pure Term Plan,Bandhan Life Insurance,0.16,0
PL10055,Bandhan Life Insurance Return of Premium (TROP),Bandhan Life Insurance,0.22,0
PL10056,Bandhan Life Insurance Convertible Term Plan,Bandhan Life Insurance,0.31,0
PL10057,Pramerica Life Insurance Pure Term Plan,Pramerica Life Insurance,0.26,0
PL10058,Pramerica Life Insurance Return of Premium (TROP),Pramerica Life Insurance,0.5,0
PL10059,Pramerica Life Insurance Convertible Term Plan,Pramerica Life Insurance,1.49,0
PL10060,Star Union Dai-ichi Life Insurance Pure Term Plan,Star Union Dai-ichi Life Insurance,1.2,0
PL10061,Star Union Dai-ichi Life Insurance Return of Premium (TROP),Star Union Dai-ichi Life Insurance,0.84,0
PL10062,Star Union Dai-ichi Life Insurance Convertible Term Plan,Star Union Dai-ichi Life Insurance,0.8,0
PL10063,IndiaFirst Life Insurance Pure Term Plan,IndiaFirst Life Insurance,0.73,0
PL10064,IndiaFirst Life Insurance Return of Premium (TROP),IndiaFirst Life Insurance,1.09,0
PL10065,IndiaFirst Life Insurance Convertible Term Plan,IndiaFirst Life Insurance,0.13,0
PL10066,Edelweiss Life Insurance Pure Term Plan,Edelweiss Life Insurance,0.39,0
PL10067,Edelweiss Life Insurance Return of Premium (TROP),Edelweiss Life Insurance,0.29,0
PL10068,Edelweiss Life Insurance Convertible Term Plan,Edelweiss Life Insurance,0.91,0
PL10069,Credit Access Life Insurance Pure Term Plan,Credit Access Life Insurance,0.33,0
PL10070,Credit Access Life Insurance Return of Premium (TROP),Credit Access Life Insurance,1.27,0
PL10071,Credit Access Life Insurance Convertible Term Plan,Credit Access Life Insurance,1.38,0
PL10072,ACKO Life Insurance Pure Term Plan,ACKO Life Insurance,0.11,0
PL10073,ACKO Life Insurance Return of Premium (TROP),ACKO Life Insurance,1.34,0
PL10074,ACKO Life Insurance Convertible Term Plan,ACKO Life Insurance,1.02,0
PL10075,Go Digit Life Insurance Pure Term Plan,Go Digit Life Insurance,0.83,0
PL10076,Go Digit Life Insurance Return of Premium (TROP),Go Digit Life Insurance,0.14,0
PL10077,Go Digit Life Insurance Convertible Term Plan,Go Digit Life Insurance,0.94,0
PL10078,Acko General Insurance Individual Health Insurance Bronze,Acko General Insurance,6.47,731
PL10079,Acko General Insurance Family Floater Gold,Acko General Insurance,3.56,14301
PL10080,Acko General Insurance Senior Citizen Health Silver,Acko General Insurance,6.7,3462
PL10081,Aditya Birla Health Insurance Individual Health Insurance Gold,Aditya Birla Health Insurance,4.95,14148
PL10082,Aditya Birla Health Insurance Family Floater Silver,Aditya Birla Health Insurance,6.91,14513
PL10083,Aditya Birla Health Insurance Senior Citizen Health Bronze,Aditya Birla Health Insurance,7.68,14456
PL10084,Aditya Birla Health Insurance Critical Illness Plan,Aditya Birla Health Insurance,5.16,6784
PL10085,Agriculture Insurance Company of India Individual Health Insurance Silver,Agriculture Insurance Company of India,1.47,8086
PL10086,Agriculture Insurance Company of India Family Floater Bronze,Agriculture Insurance Company of India,4.09,9577
PL10087,Agriculture Insurance Company of India Senior Citizen Health Bronze,Agriculture Insurance Company of India,6.1,8678
PL10088,Agriculture Insurance Company of India Critical Illness Plan,Agriculture Insurance Company of India,0.52,7015
PL10089,Bajaj Allianz General Insurance Individual Health Insurance Gold,Bajaj Allianz General Insurance,2.91,13320
PL10090,Bajaj Allianz General Insurance Family Floater Silver,Bajaj Allianz General Insurance,6.26,8995
PL10091,Bajaj Allianz General Insurance Senior Citizen Health Bronze,Bajaj Allianz General Insurance,3.2,10016
PL10092,Cholamandalam MS General Insurance Individual Health Insurance Gold,Cholamandalam MS General Insurance,2.93,7250
PL10093,Cholamandalam MS General Insurance Family Floater Gold,Cholamandalam MS General Insurance,6.97,12739
PL10094,Cholamandalam MS General Insurance Senior Citizen Health Bronze,Cholamandalam MS General Insurance,3.32,4588
PL10095,Cholamandalam MS General Insurance Critical Illness Plan,Cholamandalam MS General Insurance,1.91,3489
PL10096,Manipal Cigna Health Insurance Individual Health Insurance Bronze,Manipal Cigna Health Insurance,7.78,7382
PL10097,Manipal Cigna Health Insurance Family Floater Bronze,Manipal Cigna Health Insurance,0.86,12311
PL10098,Manipal Cigna Health Insurance Senior Citizen Health Bronze,Manipal Cigna Health Insurance,3.94,6384
PL10099,Manipal Cigna Health Insurance Critical Illness Plan,Manipal Cigna Health Insurance,3.02,6859
